survey_year,years_after_degree,graduation_year,employment_definition,employment_definition_label,university_code,university,disciplinary_group_code,disciplinary_group,course_type_code,course_type,degree_class_code,degree_class,graduates,employment_rate,net_monthly_salary,second_level_enrollment_rate,current_second_level_enrollment_rate,source_url
2008,1,2007,broad,occupato_definizione_meno_restrittiva,tutti,*,13,Agrario-Forestale e Veterinario,tutti,*,tutti,*,3154,,,,,https://www2.almalaurea.it/cgi-php/universita/statistiche/visualizza.php?anno=2008&corstipo=tutti&ateneo=tutti&facolta=tutti&gruppo=13&livello=tutti&area4=tutti&pa=tutti&classe=tutti&postcorso=tutti&annolau=1&isstella=0&condocc=tutti&iscrls=tutti&disaggregazione=ateneo&LANG=it&CONFIG=occupazione
2008,1,2007,broad,occupato_definizione_meno_restrittiva,70002,Bari,13,Agrario-Forestale e Veterinario,tutti,*,tutti,*,222,,,,,https://www2.almalaurea.it/cgi-php/universita/statistiche/visualizza.php?anno=2008&corstipo=tutti&ateneo=tutti&facolta=tutti&gruppo=13&livello=tutti&area4=tutti&pa=tutti&classe=tutti&postcorso=tutti&annolau=1&isstella=0&condocc=tutti&iscrls=tutti&disaggregazione=ateneo&LANG=it&CONFIG=occupazione
2008,1,2007,broad,occupato_definizione_meno_restrittiva,70038,Basilicata,13,Agrario-Forestale e Veterinario,tutti,*,tutti,*,98,,,,,https://www2.almalaurea.it/cgi-php/universita/statistiche/visualizza.php?anno=2008&corstipo=tutti&ateneo=tutti&facolta=tutti&gruppo=13&livello=tutti&area4=tutti&pa=tutti&classe=tutti&postcorso=tutti&annolau=1&isstella=0&condocc=tutti&iscrls=tutti&disaggregazione=ateneo&LANG=it&CONFIG=occupazione
2008,1,2007,broad,occupato_definizione_meno_restrittiva,70003,Bologna,13,Agrario-Forestale e Veterinario,tutti,*,tutti,*,396,,,,,https://www2.almalaurea.it/cgi-php/universita/statistiche/visualizza.php?anno=2008&corstipo=tutti&ateneo=tutti&facolta=tutti&gruppo=13&livello=tutti&area4=tutti&pa=tutti&classe=tutti&postcorso=tutti&annolau=1&isstella=0&condocc=tutti&iscrls=tutti&disaggregazione=ateneo&LANG=it&CONFIG=occupazione
2008,1,2007,broad,occupato_definizione_meno_restrittiva,70130,Bolzano,13,Agrario-Forestale e Veterinario,tutti,*,tutti,*,19,,,,,https://www2.almalaurea.it/cgi-php/universita/statistiche/visualizza.php?anno=2008&corstipo=tutti&ateneo=tutti&facolta=tutti&gruppo=13&livello=tutti&area4=tutti&pa=tutti&classe=tutti&postcorso=tutti&annolau=1&isstella=0&condocc=tutti&iscrls=tutti&disaggregazione=ateneo&LANG=it&CONFIG=occupazione
2008,1,2007,broad,occupato_definizione_meno_restrittiva,70006,Camerino,13,Agrario-Forestale e Veterinario,tutti,*,tutti,*,44,,,,,https://www2.almalaurea.it/cgi-php/universita/statistiche/visualizza.php?anno=2008&corstipo=tutti&ateneo=tutti&facolta=tutti&gruppo=13&livello=tutti&area4=tutti&pa=tutti&classe=tutti&postcorso=tutti&annolau=1&isstella=0&condocc=tutti&iscrls=tutti&disaggregazione=ateneo&LANG=it&CONFIG=occupazione
2008,1,2007,broad,occupato_definizione_meno_restrittiva,70008,Catania,13,Agrario-Forestale e Veterinario,tutti,*,tutti,*,172,,,,,https://www2.almalaurea.it/cgi-php/universita/statistiche/visualizza.php?anno=2008&corstipo=tutti&ateneo=tutti&facolta=tutti&gruppo=13&livello=tutti&area4=tutti&pa=tutti&classe=tutti&postcorso=tutti&annolau=1&isstella=0&condocc=tutti&iscrls=tutti&disaggregazione=ateneo&LANG=it&CONFIG=occupazione
2008,1,2007,broad,occupato_definizione_meno_restrittiva,70125,Catanzaro,13,Agrario-Forestale e Veterinario,tutti,*,tutti,*,1,,,,,https://www2.almalaurea.it/cgi-php/universita/statistiche/visualizza.php?anno=2008&corstipo=tutti&ateneo=tutti&facolta=tutti&gruppo=13&livello=tutti&area4=tutti&pa=tutti&classe=tutti&postcorso=tutti&annolau=1&isstella=0&condocc=tutti&iscrls=tutti&disaggregazione=ateneo&LANG=it&CONFIG=occupazione
2008,1,2007,broad,occupato_definizione_meno_restrittiva,70010,Firenze,13,Agrario-Forestale e Veterinario,tutti,*,tutti,*,252,,,,,https://www2.almalaurea.it/cgi-php/universita/statistiche/visualizza.php?anno=2008&corstipo=tutti&ateneo=tutti&facolta=tutti&gruppo=13&livello=tutti&area4=tutti&pa=tutti&classe=tutti&postcorso=tutti&annolau=1&isstella=0&condocc=tutti&iscrls=tutti&disaggregazione=ateneo&LANG=it&CONFIG=occupazione
2008,1,2007,broad,occupato_definizione_meno_restrittiva,70129,Foggia,13,Agrario-Forestale e Veterinario,tutti,*,tutti,*,69,,,,,https://www2.almalaurea.it/cgi-php/universita/statistiche/visualizza.php?anno=2008&corstipo=tutti&ateneo=tutti&facolta=tutti&gruppo=13&livello=tutti&area4=tutti&pa=tutti&classe=tutti&postcorso=tutti&annolau=1&isstella=0&condocc=tutti&iscrls=tutti&disaggregazione=ateneo&LANG=it&CONFIG=occupazione
2008,1,2007,broad,occupato_definizione_meno_restrittiva,70014,Messina,13,Agrario-Forestale e Veterinario,tutti,*,tutti,*,53,,,,,https://www2.almalaurea.it/cgi-php/universita/statistiche/visualizza.php?anno=2008&corstipo=tutti&ateneo=tutti&facolta=tutti&gruppo=13&livello=tutti&area4=tutti&pa=tutti&classe=tutti&postcorso=tutti&annolau=1&isstella=0&condocc=tutti&iscrls=tutti&disaggregazione=ateneo&LANG=it&CONFIG=occupazione
2008,1,2007,broad,occupato_definizione_meno_restrittiva,70017,Modena e Reggio Emilia,13,Agrario-Forestale e Veterinario,tutti,*,tutti,*,32,,,,,https://www2.almalaurea.it/cgi-php/universita/statistiche/visualizza.php?anno=2008&corstipo=tutti&ateneo=tutti&facolta=tutti&gruppo=13&livello=tutti&area4=tutti&pa=tutti&classe=tutti&postcorso=tutti&annolau=1&isstella=0&condocc=tutti&iscrls=tutti&disaggregazione=ateneo&LANG=it&CONFIG=occupazione
2008,1,2007,broad,occupato_definizione_meno_restrittiva,70039,Molise,13,Agrario-Forestale e Veterinario,tutti,*,tutti,*,51,,,,,https://www2.almalaurea.it/cgi-php/universita/statistiche/visualizza.php?anno=2008&corstipo=tutti&ateneo=tutti&facolta=tutti&gruppo=13&livello=tutti&area4=tutti&pa=tutti&classe=tutti&postcorso=tutti&annolau=1&isstella=0&condocc=tutti&iscrls=tutti&disaggregazione=ateneo&LANG=it&CONFIG=occupazione
2008,1,2007,broad,occupato_definizione_meno_restrittiva,70019,Padova,13,Agrario-Forestale e Veterinario,tutti,*,tutti,*,447,,,,,https://www2.almalaurea.it/cgi-php/universita/statistiche/visualizza.php?anno=2008&corstipo=tutti&ateneo=tutti&facolta=tutti&gruppo=13&livello=tutti&area4=tutti&pa=tutti&classe=tutti&postcorso=tutti&annolau=1&isstella=0&condocc=tutti&iscrls=tutti&disaggregazione=ateneo&LANG=it&CONFIG=occupazione
2008,1,2007,broad,occupato_definizione_meno_restrittiva,70021,Parma,13,Agrario-Forestale e Veterinario,tutti,*,tutti,*,217,,,,,https://www2.almalaurea.it/cgi-php/universita/statistiche/visualizza.php?anno=2008&corstipo=tutti&ateneo=tutti&facolta=tutti&gruppo=13&livello=tutti&area4=tutti&pa=tutti&classe=tutti&postcorso=tutti&annolau=1&isstella=0&condocc=tutti&iscrls=tutti&disaggregazione=ateneo&LANG=it&CONFIG=occupazione
2008,1,2007,broad,occupato_definizione_meno_restrittiva,70023,Perugia,13,Agrario-Forestale e Veterinario,tutti,*,tutti,*,250,,,,,https://www2.almalaurea.it/cgi-php/universita/statistiche/visualizza.php?anno=2008&corstipo=tutti&ateneo=tutti&facolta=tutti&gruppo=13&livello=tutti&area4=tutti&pa=tutti&classe=tutti&postcorso=tutti&annolau=1&isstella=0&condocc=tutti&iscrls=tutti&disaggregazione=ateneo&LANG=it&CONFIG=occupazione
2008,1,2007,broad,occupato_definizione_meno_restrittiva,70047,Reggio Calabria Mediterranea,13,Agrario-Forestale e Veterinario,tutti,*,tutti,*,65,,,,,https://www2.almalaurea.it/cgi-php/universita/statistiche/visualizza.php?anno=2008&corstipo=tutti&ateneo=tutti&facolta=tutti&gruppo=13&livello=tutti&area4=tutti&pa=tutti&classe=tutti&postcorso=tutti&annolau=1&isstella=0&condocc=tutti&iscrls=tutti&disaggregazione=ateneo&LANG=it&CONFIG=occupazione
2008,1,2007,broad,occupato_definizione_meno_restrittiva,70029,Sassari,13,Agrario-Forestale e Veterinario,tutti,*,tutti,*,94,,,,,https://www2.almalaurea.it/cgi-php/universita/statistiche/visualizza.php?anno=2008&corstipo=tutti&ateneo=tutti&facolta=tutti&gruppo=13&livello=tutti&area4=tutti&pa=tutti&classe=tutti&postcorso=tutti&annolau=1&isstella=0&condocc=tutti&iscrls=tutti&disaggregazione=ateneo&LANG=it&CONFIG=occupazione
2008,1,2007,broad,occupato_definizione_meno_restrittiva,70031,Torino,13,Agrario-Forestale e Veterinario,tutti,*,tutti,*,342,,,,,https://www2.almalaurea.it/cgi-php/universita/statistiche/visualizza.php?anno=2008&corstipo=tutti&ateneo=tutti&facolta=tutti&gruppo=13&livello=tutti&area4=tutti&pa=tutti&classe=tutti&postcorso=tutti&annolau=1&isstella=0&condocc=tutti&iscrls=tutti&disaggregazione=ateneo&LANG=it&CONFIG=occupazione
2008,1,2007,broad,occupato_definizione_meno_restrittiva,70035,Tuscia,13,Agrario-Forestale e Veterinario,tutti,*,tutti,*,168,,,,,https://www2.almalaurea.it/cgi-php/universita/statistiche/visualizza.php?anno=2008&corstipo=tutti&ateneo=tutti&facolta=tutti&gruppo=13&livello=tutti&area4=tutti&pa=tutti&classe=tutti&postcorso=tutti&annolau=1&isstella=0&condocc=tutti&iscrls=tutti&disaggregazione=ateneo&LANG=it&CONFIG=occupazione
2008,1,2007,broad,occupato_definizione_meno_restrittiva,70034,Udine,13,Agrario-Forestale e Veterinario,tutti,*,tutti,*,130,,,,,https://www2.almalaurea.it/cgi-php/universita/statistiche/visualizza.php?anno=2008&corstipo=tutti&ateneo=tutti&facolta=tutti&gruppo=13&livello=tutti&area4=tutti&pa=tutti&classe=tutti&postcorso=tutti&annolau=1&isstella=0&condocc=tutti&iscrls=tutti&disaggregazione=ateneo&LANG=it&CONFIG=occupazione
