Color_field,Retribuzione mensile netta,Ateneo,Gruppo disciplinare,Tipo di corso,Numero di laureati,Tasso di occupazione
Agrario-forestale e veterinario,1399.0,Torino,Agrario-forestale e veterinario,*,578,69.1
Agrario-forestale e veterinario,1664.0,Trento,Agrario-forestale e veterinario,*,48,71.9
Agrario-forestale e veterinario,1246.0,Tuscia,Agrario-forestale e veterinario,*,250,60.5
Agrario-forestale e veterinario,1370.0,Udine,Agrario-forestale e veterinario,*,287,66.2
Agrario-forestale e veterinario,1274.0,Verona,Agrario-forestale e veterinario,*,36,73.7
Agrario-forestale e veterinario,1232.0,*,Agrario-forestale e veterinario,Laurea di primo livello,4038,49.1
Agrario-forestale e veterinario,1066.0,Bari,Agrario-forestale e veterinario,Laurea di primo livello,150,38.0
Agrario-forestale e veterinario,1018.0,Basilicata,Agrario-forestale e veterinario,Laurea di primo livello,46,36.8
Agrario-forestale e veterinario,1338.0,Bologna,Agrario-forestale e veterinario,Laurea di primo livello,376,53.1
Agrario-forestale e veterinario,1010.0,Bolzano,Agrario-forestale e veterinario,Laurea di primo livello,25,50.0
Agrario-forestale e veterinario,1589.0,Brescia,Agrario-forestale e veterinario,Laurea di primo livello,33,53.6
Agrario-forestale e veterinario,788.0,Camerino,Agrario-forestale e veterinario,Laurea di primo livello,7,40.0
Agrario-forestale e veterinario,876.0,Campania Luigi Vanvitelli,Agrario-forestale e veterinario,Laurea di primo livello,10,50.0
Agrario-forestale e veterinario,1241.0,Catania,Agrario-forestale e veterinario,Laurea di primo livello,172,40.2
Agrario-forestale e veterinario,1626.0,Catanzaro,Agrario-forestale e veterinario,Laurea di primo livello,12,12.5
Agrario-forestale e veterinario,1076.0,Ferrara,Agrario-forestale e veterinario,Laurea di primo livello,16,62.5
Agrario-forestale e veterinario,1222.0,Firenze,Agrario-forestale e veterinario,Laurea di primo livello,199,57.7
Agrario-forestale e veterinario,1136.0,Foggia,Agrario-forestale e veterinario,Laurea di primo livello,72,50.0
Agrario-forestale e veterinario,1039.0,Marche Politecnica,Agrario-forestale e veterinario,Laurea di primo livello,89,50.0
Agrario-forestale e veterinario,850.0,Messina,Agrario-forestale e veterinario,Laurea di primo livello,45,21.9
Agrario-forestale e veterinario,1278.0,Milano,Agrario-forestale e veterinario,Laurea di primo livello,406,54.3
Agrario-forestale e veterinario,1333.0,Modena e Reggio Emilia,Agrario-forestale e veterinario,Laurea di primo livello,51,52.8
Agrario-forestale e veterinario,1366.0,Molise,Agrario-forestale e veterinario,Laurea di primo livello,33,50.0
Agrario-forestale e veterinario,1221.0,Napoli Federico II,Agrario-forestale e veterinario,Laurea di primo livello,280,31.4
Agrario-forestale e veterinario,1279.0,Padova,Agrario-forestale e veterinario,Laurea di primo livello,390,65.0
Agrario-forestale e veterinario,1333.0,Palermo,Agrario-forestale e veterinario,Laurea di primo livello,153,32.3
Agrario-forestale e veterinario,1159.0,Parma,Agrario-forestale e veterinario,Laurea di primo livello,144,50.0
Agrario-forestale e veterinario,1138.0,Perugia,Agrario-forestale e veterinario,Laurea di primo livello,91,37.5
Agrario-forestale e veterinario,1304.0,Pisa,Agrario-forestale e veterinario,Laurea di primo livello,139,50.5
Agrario-forestale e veterinario,865.0,Reggio Calabria Mediterranea,Agrario-forestale e veterinario,Laurea di primo livello,48,25.6
Agrario-forestale e veterinario,1079.0,Roma Tre,Agrario-forestale e veterinario,Laurea di primo livello,37,50.0
Agrario-forestale e veterinario,1209.0,Salento,Agrario-forestale e veterinario,Laurea di primo livello,16,66.7
Agrario-forestale e veterinario,810.0,Salerno,Agrario-forestale e veterinario,Laurea di primo livello,30,50.0
Agrario-forestale e veterinario,,Sannio,Agrario-forestale e veterinario,Laurea di primo livello,6,
Agrario-forestale e veterinario,1196.0,Sassari,Agrario-forestale e veterinario,Laurea di primo livello,65,53.1
Agrario-forestale e veterinario,,Scienze Gastronomiche,Agrario-forestale e veterinario,Laurea di primo livello,2,
Agrario-forestale e veterinario,1197.0,Siena,Agrario-forestale e veterinario,Laurea di primo livello,11,63.6
Agrario-forestale e veterinario,1130.0,Teramo,Agrario-forestale e veterinario,Laurea di primo livello,168,49.2
Agrario-forestale e veterinario,1163.0,Torino,Agrario-forestale e veterinario,Laurea di primo livello,310,51.2
Agrario-forestale e veterinario,1677.0,Trento,Agrario-forestale e veterinario,Laurea di primo livello,40,68.0
Agrario-forestale e veterinario,1229.0,Tuscia,Agrario-forestale e veterinario,Laurea di primo livello,133,43.3
Agrario-forestale e veterinario,1275.0,Udine,Agrario-forestale e veterinario,Laurea di primo livello,197,55.1
Agrario-forestale e veterinario,1274.0,Verona,Agrario-forestale e veterinario,Laurea di primo livello,36,73.7
Agrario-forestale e veterinario,1447.0,*,Agrario-forestale e veterinario,Laurea magistrale a ciclo unico,727,87.4
Agrario-forestale e veterinario,1313.0,Bari,Agrario-forestale e veterinario,Laurea magistrale a ciclo unico,52,84.2
Agrario-forestale e veterinario,1435.0,Bologna,Agrario-forestale e veterinario,Laurea magistrale a ciclo unico,66,83.0
Agrario-forestale e veterinario,,Camerino,Agrario-forestale e veterinario,Laurea magistrale a ciclo unico,42,
Agrario-forestale e veterinario,,Catanzaro,Agrario-forestale e veterinario,Laurea magistrale a ciclo unico,1,
Agrario-forestale e veterinario,1429.0,Messina,Agrario-forestale e veterinario,Laurea magistrale a ciclo unico,43,82.8
Agrario-forestale e veterinario,1668.0,Milano,Agrario-forestale e veterinario,Laurea magistrale a ciclo unico,64,88.6
Agrario-forestale e veterinario,1231.0,Napoli Federico II,Agrario-forestale e veterinario,Laurea magistrale a ciclo unico,56,84.4
Agrario-forestale e veterinario,1523.0,Padova,Agrario-forestale e veterinario,Laurea magistrale a ciclo unico,75,86.0
Agrario-forestale e veterinario,1292.0,Parma,Agrario-forestale e veterinario,Laurea magistrale a ciclo unico,43,92.3
Agrario-forestale e veterinario,1539.0,Perugia,Agrario-forestale e veterinario,Laurea magistrale a ciclo unico,59,91.4
Agrario-forestale e veterinario,1251.0,Pisa,Agrario-forestale e veterinario,Laurea magistrale a ciclo unico,45,89.7
Agrario-forestale e veterinario,1488.0,Sassari,Agrario-forestale e veterinario,Laurea magistrale a ciclo unico,42,91.3
Agrario-forestale e veterinario,1436.0,Teramo,Agrario-forestale e veterinario,Laurea magistrale a ciclo unico,50,82.5
Agrario-forestale e veterinario,1614.0,Torino,Agrario-forestale e veterinario,Laurea magistrale a ciclo unico,89,96.4
Agrario-forestale e veterinario,1446.0,*,Agrario-forestale e veterinario,Laurea magistrale biennale,2426,83.6
Agrario-forestale e veterinario,1432.0,Bari,Agrario-forestale e veterinario,Laurea magistrale biennale,87,84.2
Agrario-forestale e veterinario,1442.0,Basilicata,Agrario-forestale e veterinario,Laurea magistrale biennale,28,71.4
Agrario-forestale e veterinario,1438.0,Bologna,Agrario-forestale e veterinario,Laurea magistrale biennale,237,90.9
Agrario-forestale e veterinario,1789.0,Bolzano,Agrario-forestale e veterinario,Laurea magistrale biennale,41,92.0
Agrario-forestale e veterinario,1584.0,Brescia,Agrario-forestale e veterinario,Laurea magistrale biennale,12,85.7
Agrario-forestale e veterinario,1332.0,Catania,Agrario-forestale e veterinario,Laurea magistrale biennale,91,72.3
Agrario-forestale e veterinario,1399.0,Firenze,Agrario-forestale e veterinario,Laurea magistrale biennale,97,79.4
Agrario-forestale e veterinario,1300.0,Foggia,Agrario-forestale e veterinario,Laurea magistrale biennale,42,85.7
Agrario-forestale e veterinario,1393.0,Marche Politecnica,Agrario-forestale e veterinario,Laurea magistrale biennale,48,81.3
Agrario-forestale e veterinario,1313.0,Messina,Agrario-forestale e veterinario,Laurea magistrale biennale,16,33.3
Agrario-forestale e veterinario,1572.0,Milano,Agrario-forestale e veterinario,Laurea magistrale biennale,179,88.7
Agrario-forestale e veterinario,1477.0,Modena e Reggio Emilia,Agrario-forestale e veterinario,Laurea magistrale biennale,28,94.1
Agrario-forestale e veterinario,1257.0,Molise,Agrario-forestale e veterinario,Laurea magistrale biennale,34,76.9
Agrario-forestale e veterinario,1344.0,Napoli Federico II,Agrario-forestale e veterinario,Laurea magistrale biennale,182,82.6
Agrario-forestale e veterinario,1564.0,Padova,Agrario-forestale e veterinario,Laurea magistrale biennale,262,88.6
Agrario-forestale e veterinario,1252.0,Palermo,Agrario-forestale e veterinario,Laurea magistrale biennale,82,72.0
Agrario-forestale e veterinario,1601.0,Parma,Agrario-forestale e veterinario,Laurea magistrale biennale,160,86.0
Agrario-forestale e veterinario,1251.0,Pavia,Agrario-forestale e veterinario,Laurea magistrale biennale,5,66.7
Agrario-forestale e veterinario,1297.0,Perugia,Agrario-forestale e veterinario,Laurea magistrale biennale,64,86.3
Agrario-forestale e veterinario,1449.0,Pisa,Agrario-forestale e veterinario,Laurea magistrale biennale,150,88.6
Agrario-forestale e veterinario,1299.0,Reggio Calabria Mediterranea,Agrario-forestale e veterinario,Laurea magistrale biennale,48,71.4
Agrario-forestale e veterinario,1313.0,Roma Campus Bio-Medico,Agrario-forestale e veterinario,Laurea magistrale biennale,11,57.1
Agrario-forestale e veterinario,1376.0,Roma Sapienza,Agrario-forestale e veterinario,Laurea magistrale biennale,13,77.8
Agrario-forestale e veterinario,626.0,Salerno,Agrario-forestale e veterinario,Laurea magistrale biennale,9,40.0
Agrario-forestale e veterinario,1365.0,Sassari,Agrario-forestale e veterinario,Laurea magistrale biennale,81,72.2
Agrario-forestale e veterinario,1237.0,Teramo,Agrario-forestale e veterinario,Laurea magistrale biennale,25,76.2
Agrario-forestale e veterinario,1525.0,Torino,Agrario-forestale e veterinario,Laurea magistrale biennale,179,87.0
Agrario-forestale e veterinario,1626.0,Trento,Agrario-forestale e veterinario,Laurea magistrale biennale,8,85.7
Agrario-forestale e veterinario,1257.0,Tuscia,Agrario-forestale e veterinario,Laurea magistrale biennale,117,81.9
Agrario-forestale e veterinario,1495.0,Udine,Agrario-forestale e veterinario,Laurea magistrale biennale,90,89.2
Architettura e ingegneria civile,1442.0,*,Architettura e ingegneria civile,*,10103,67.4
Architettura e ingegneria civile,1355.0,Bari Politecnico,Architettura e ingegneria civile,*,349,66.9
Architettura e ingegneria civile,1427.0,Basilicata,Architettura e ingegneria civile,*,80,63.9
Architettura e ingegneria civile,1367.0,Bergamo,Architettura e ingegneria civile,*,54,78.9
Architettura e ingegneria civile,1449.0,Bologna,Architettura e ingegneria civile,*,574,74.5
Architettura e ingegneria civile,1581.0,Brescia,Architettura e ingegneria civile,*,138,67.0
Architettura e ingegneria civile,1426.0,Cagliari,Architettura e ingegneria civile,*,223,48.8
Architettura e ingegneria civile,1357.0,Calabria,Architettura e ingegneria civile,*,139,64.8
Architettura e ingegneria civile,1046.0,Camerino,Architettura e ingegneria civile,*,89,37.9
Architettura e ingegneria civile,1395.0,Campania Luigi Vanvitelli,Architettura e ingegneria civile,*,163,59.6
Architettura e ingegneria civile,1458.0,Cassino e Lazio Meridionale,Architettura e ingegneria civile,*,62,78.8
Architettura e ingegneria civile,1434.0,Catania,Architettura e ingegneria civile,*,235,67.7
Architettura e ingegneria civile,1299.0,Chieti e Pescara,Architettura e ingegneria civile,*,153,63.2
Architettura e ingegneria civile,1300.0,Enna Kore,Architettura e ingegneria civile,*,37,83.3
Architettura e ingegneria civile,1202.0,Ferrara,Architettura e ingegneria civile,*,176,78.8
Architettura e ingegneria civile,1330.0,Firenze,Architettura e ingegneria civile,*,475,73.0
Architettura e ingegneria civile,1426.0,Genova,Architettura e ingegneria civile,*,283,59.9
Architettura e ingegneria civile,1618.0,Insubria,Architettura e ingegneria civile,*,68,81.6
Architettura e ingegneria civile,1486.0,L’Aquila,Architettura e ingegneria civile,*,87,79.4
Architettura e ingegneria civile,1392.0,Marche Politecnica,Architettura e ingegneria civile,*,131,69.5
Architettura e ingegneria civile,1535.0,Messina,Architettura e ingegneria civile,*,21,40.0
Architettura e ingegneria civile,1590.0,Milano,Architettura e ingegneria civile,*,10,87.5
Architettura e ingegneria civile,1386.0,Modena e Reggio Emilia,Architettura e ingegneria civile,*,91,61.0
Architettura e ingegneria civile,,Molise,Architettura e ingegneria civile,*,8,
Architettura e ingegneria civile,1360.0,Napoli Federico II,Architettura e ingegneria civile,*,576,65.5
Architettura e ingegneria civile,1313.0,Napoli Parthenope,Architettura e ingegneria civile,*,16,50.0
Architettura e ingegneria civile,1411.0,Padova,Architettura e ingegneria civile,*,340,74.5
Architettura e ingegneria civile,1420.0,Palermo,Architettura e ingegneria civile,*,224,61.8
Architettura e ingegneria civile,1334.0,Parma,Architettura e ingegneria civile,*,165,48.8
Architettura e ingegneria civile,1592.0,Pavia,Architettura e ingegneria civile,*,130,67.5
Architettura e ingegneria civile,1353.0,Perugia,Architettura e ingegneria civile,*,63,77.3
Architettura e ingegneria civile,1476.0,Pisa,Architettura e ingegneria civile,*,110,60.3
Architettura e ingegneria civile,1423.0,Reggio Calabria Mediterranea,Architettura e ingegneria civile,*,122,62.1
Architettura e ingegneria civile,1414.0,Roma Sapienza,Architettura e ingegneria civile,*,975,68.0
Architettura e ingegneria civile,1593.0,Roma Tor Vergata,Architettura e ingegneria civile,*,84,71.7
Architettura e ingegneria civile,1299.0,Roma Tre,Architettura e ingegneria civile,*,319,56.0
Architettura e ingegneria civile,1547.0,Salento,Architettura e ingegneria civile,*,58,59.5
Architettura e ingegneria civile,1397.0,Salerno,Architettura e ingegneria civile,*,165,66.9
Architettura e ingegneria civile,1268.0,Sannio,Architettura e ingegneria civile,*,24,70.0
Architettura e ingegneria civile,1050.0,Sassari,Architettura e ingegneria civile,*,73,51.9
Architettura e ingegneria civile,1463.0,Torino Politecnico,Architettura e ingegneria civile,*,1203,63.6
Architettura e ingegneria civile,1643.0,Trento,Architettura e ingegneria civile,*,188,71.2
Architettura e ingegneria civile,1584.0,Trieste,Architettura e ingegneria civile,*,76,84.3
Architettura e ingegneria civile,1084.0,Tuscia,Architettura e ingegneria civile,*,15,33.3
Architettura e ingegneria civile,1444.0,Udine,Architettura e ingegneria civile,*,97,62.3
Architettura e ingegneria civile,,Urbino Carlo Bo,Architettura e ingegneria civile,*,3,
Architettura e ingegneria civile,1264.0,Venezia IUAV,Architettura e ingegneria civile,*,797,68.4
Architettura e ingegneria civile,2013.0,eCampus - telematica,Architettura e ingegneria civile,*,634,88.0
Architettura e ingegneria civile,1316.0,*,Architettura e ingegneria civile,Laurea di primo livello,4267,38.3
Architettura e ingegneria civile,1164.0,Bari Politecnico,Architettura e ingegneria civile,Laurea di primo livello,140,29.3
Architettura e ingegneria civile,1304.0,Basilicata,Architettura e ingegneria civile,Laurea di primo livello,31,29.2
Architettura e ingegneria civile,1035.0,Bergamo,Architettura e ingegneria civile,Laurea di primo livello,27,57.9
Architettura e ingegneria civile,913.0,Bologna,Architettura e ingegneria civile,Laurea di primo livello,204,41.8
Architettura e ingegneria civile,1427.0,Brescia,Architettura e ingegneria civile,Laurea di primo livello,76,42.3
Architettura e ingegneria civile,1361.0,Cagliari,Architettura e ingegneria civile,Laurea di primo livello,141,26.0
Architettura e ingegneria civile,1157.0,Calabria,Architettura e ingegneria civile,Laurea di primo livello,49,23.5
Architettura e ingegneria civile,683.0,Camerino,Architettura e ingegneria civile,Laurea di primo livello,57,15.9
Architettura e ingegneria civile,1573.0,Campania Luigi Vanvitelli,Architettura e ingegneria civile,Laurea di primo livello,66,30.0
Architettura e ingegneria civile,759.0,Cassino e Lazio Meridionale,Architettura e ingegneria civile,Laurea di primo livello,16,30.0
Architettura e ingegneria civile,1283.0,Catania,Architettura e ingegneria civile,Laurea di primo livello,91,24.6
Architettura e ingegneria civile,1251.0,Chieti e Pescara,Architettura e ingegneria civile,Laurea di primo livello,46,29.6
Architettura e ingegneria civile,1376.0,Enna Kore,Architettura e ingegneria civile,Laurea di primo livello,21,70.6
Architettura e ingegneria civile,1263.0,Ferrara,Architettura e ingegneria civile,Laurea di primo livello,38,37.0
Architettura e ingegneria civile,1118.0,Firenze,Architettura e ingegneria civile,Laurea di primo livello,167,46.0
Architettura e ingegneria civile,1126.0,Genova,Architettura e ingegneria civile,Laurea di primo livello,122,27.0
Architettura e ingegneria civile,1540.0,Insubria,Architettura e ingegneria civile,Laurea di primo livello,43,70.0
Architettura e ingegneria civile,969.0,L’Aquila,Architettura e ingegneria civile,Laurea di primo livello,29,38.1
Architettura e ingegneria civile,1227.0,Marche Politecnica,Architettura e ingegneria civile,Laurea di primo livello,55,33.3
Architettura e ingegneria civile,1529.0,Messina,Architettura e ingegneria civile,Laurea di primo livello,13,33.3
Architettura e ingegneria civile,1240.0,Modena e Reggio Emilia,Architettura e ingegneria civile,Laurea di primo livello,58,35.3
Architettura e ingegneria civile,,Molise,Architettura e ingegneria civile,Laurea di primo livello,3,
Architettura e ingegneria civile,893.0,Napoli Federico II,Architettura e ingegneria civile,Laurea di primo livello,203,23.2
Architettura e ingegneria civile,1626.0,Napoli Parthenope,Architettura e ingegneria civile,Laurea di primo livello,11,20.0
Architettura e ingegneria civile,1167.0,Padova,Architettura e ingegneria civile,Laurea di primo livello,157,52.7
Architettura e ingegneria civile,1188.0,Palermo,Architettura e ingegneria civile,Laurea di primo livello,66,26.1
Architettura e ingegneria civile,1249.0,Parma,Architettura e ingegneria civile,Laurea di primo livello,103,23.7
Architettura e ingegneria civile,1573.0,Pavia,Architettura e ingegneria civile,Laurea di primo livello,42,36.4
Architettura e ingegneria civile,1001.0,Perugia,Architettura e ingegneria civile,Laurea di primo livello,19,18.2
Architettura e ingegneria civile,1401.0,Pisa,Architettura e ingegneria civile,Laurea di primo livello,44,30.3
Architettura e ingegneria civile,1326.0,Reggio Calabria Mediterranea,Architettura e ingegneria civile,Laurea di primo livello,39,20.8
Architettura e ingegneria civile,1113.0,Roma Sapienza,Architettura e ingegneria civile,Laurea di primo livello,307,35.9
Architettura e ingegneria civile,1226.0,Roma Tor Vergata,Architettura e ingegneria civile,Laurea di primo livello,30,25.0
Architettura e ingegneria civile,975.0,Roma Tre,Architettura e ingegneria civile,Laurea di primo livello,183,29.2
Architettura e ingegneria civile,1108.0,Salento,Architettura e ingegneria civile,Laurea di primo livello,34,30.4
Architettura e ingegneria civile,983.0,Salerno,Architettura e ingegneria civile,Laurea di primo livello,58,22.2
Architettura e ingegneria civile,1376.0,Sannio,Architettura e ingegneria civile,Laurea di primo livello,11,33.3
Architettura e ingegneria civile,927.0,Sassari,Architettura e ingegneria civile,Laurea di primo livello,42,45.2
Architettura e ingegneria civile,969.0,Torino Politecnico,Architettura e ingegneria civile,Laurea di primo livello,487,27.4
Architettura e ingegneria civile,1292.0,Trento,Architettura e ingegneria civile,Laurea di primo livello,89,37.5
Architettura e ingegneria civile,1126.0,Trieste,Architettura e ingegneria civile,Laurea di primo livello,17,40.0
Architettura e ingegneria civile,1084.0,Tuscia,Architettura e ingegneria civile,Laurea di primo livello,15,33.3
Architettura e ingegneria civile,1303.0,Udine,Architettura e ingegneria civile,Laurea di primo livello,65,46.2
Architettura e ingegneria civile,,Urbino Carlo Bo,Architettura e ingegneria civile,Laurea di primo livello,3,
Architettura e ingegneria civile,891.0,Venezia IUAV,Architettura e ingegneria civile,Laurea di primo livello,324,36.5
Architettura e ingegneria civile,2018.0,eCampus - telematica,Architettura e ingegneria civile,Laurea di primo livello,425,87.3
Architettura e ingegneria civile,1347.0,*,Architettura e ingegneria civile,Laurea magistrale a ciclo unico,1728,87.1
Architettura e ingegneria civile,1141.0,Bari Politecnico,Architettura e ingegneria civile,Laurea magistrale a ciclo unico,103,84.4
Architettura e ingegneria civile,1358.0,Basilicata,Architettura e ingegneria civile,Laurea magistrale a ciclo unico,25,87.5
Architettura e ingegneria civile,1394.0,Bologna,Architettura e ingegneria civile,Laurea magistrale a ciclo unico,142,93.5
Architettura e ingegneria civile,1579.0,Brescia,Architettura e ingegneria civile,Laurea magistrale a ciclo unico,19,100.0
Architettura e ingegneria civile,1365.0,Calabria,Architettura e ingegneria civile,Laurea magistrale a ciclo unico,37,92.6
Architettura e ingegneria civile,1275.0,Campania Luigi Vanvitelli,Architettura e ingegneria civile,Laurea magistrale a ciclo unico,60,76.9
Architettura e ingegneria civile,1393.0,Catania,Architettura e ingegneria civile,Laurea magistrale a ciclo unico,93,91.8
Architettura e ingegneria civile,1182.0,Chieti e Pescara,Architettura e ingegneria civile,Laurea magistrale a ciclo unico,80,72.5
Architettura e ingegneria civile,1231.0,Enna Kore,Architettura e ingegneria civile,Laurea magistrale a ciclo unico,16,100.0
Architettura e ingegneria civile,1020.0,Ferrara,Architettura e ingegneria civile,Laurea magistrale a ciclo unico,108,91.0
Architettura e ingegneria civile,1359.0,Firenze,Architettura e ingegneria civile,Laurea magistrale a ciclo unico,146,86.7
Architettura e ingegneria civile,1376.0,Genova,Architettura e ingegneria civile,Laurea magistrale a ciclo unico,6,66.7
Architettura e ingegneria civile,1468.0,L’Aquila,Architettura e ingegneria civile,Laurea magistrale a ciclo unico,26,100.0
Architettura e ingegneria civile,1297.0,Marche Politecnica,Architettura e ingegneria civile,Laurea magistrale a ciclo unico,21,94.4
Architettura e ingegneria civile,1179.0,Napoli Federico II,Architettura e ingegneria civile,Laurea magistrale a ciclo unico,158,81.3
Architettura e ingegneria civile,1556.0,Padova,Architettura e ingegneria civile,Laurea magistrale a ciclo unico,38,96.2
Architettura e ingegneria civile,1279.0,Palermo,Architettura e ingegneria civile,Laurea magistrale a ciclo unico,92,76.0
Architettura e ingegneria civile,1611.0,Pavia,Architettura e ingegneria civile,Laurea magistrale a ciclo unico,28,90.0
Architettura e ingegneria civile,1268.0,Perugia,Architettura e ingegneria civile,Laurea magistrale a ciclo unico,21,100.0
Architettura e ingegneria civile,1367.0,Pisa,Architettura e ingegneria civile,Laurea magistrale a ciclo unico,39,88.0
Architettura e ingegneria civile,1385.0,Reggio Calabria Mediterranea,Architettura e ingegneria civile,Laurea magistrale a ciclo unico,61,76.6
Architettura e ingegneria civile,1470.0,Roma Sapienza,Architettura e ingegneria civile,Laurea magistrale a ciclo unico,264,84.7
Architettura e ingegneria civile,1667.0,Roma Tor Vergata,Architettura e ingegneria civile,Laurea magistrale a ciclo unico,22,100.0
Architettura e ingegneria civile,1385.0,Salerno,Architettura e ingegneria civile,Laurea magistrale a ciclo unico,62,95.7
Architettura e ingegneria civile,1695.0,Trento,Architettura e ingegneria civile,Laurea magistrale a ciclo unico,30,85.7
Architettura e ingegneria civile,1541.0,Trieste,Architettura e ingegneria civile,Laurea magistrale a ciclo unico,31,100.0
Architettura e ingegneria civile,1539.0,*,Architettura e ingegneria civile,Laurea magistrale biennale,4108,88.9
Architettura e ingegneria civile,1582.0,Bari Politecnico,Architettura e ingegneria civile,Laurea magistrale biennale,106,92.5
Architettura e ingegneria civile,1528.0,Basilicata,Architettura e ingegneria civile,Laurea magistrale biennale,24,85.7
Architettura e ingegneria civile,1560.0,Bergamo,Architettura e ingegneria civile,Laurea magistrale biennale,27,100.0
Architettura e ingegneria civile,1685.0,Bologna,Architettura e ingegneria civile,Laurea magistrale biennale,228,87.0
Architettura e ingegneria civile,1712.0,Brescia,Architettura e ingegneria civile,Laurea magistrale biennale,43,93.1
Architettura e ingegneria civile,1454.0,Cagliari,Architettura e ingegneria civile,Laurea magistrale biennale,82,81.8
Architettura e ingegneria civile,1411.0,Calabria,Architettura e ingegneria civile,Laurea magistrale biennale,53,86.7
Architettura e ingegneria civile,1195.0,Camerino,Architettura e ingegneria civile,Laurea magistrale biennale,32,81.8
Architettura e ingegneria civile,1458.0,Campania Luigi Vanvitelli,Architettura e ingegneria civile,Laurea magistrale biennale,37,80.0
Architettura e ingegneria civile,1549.0,Cassino e Lazio Meridionale,Architettura e ingegneria civile,Laurea magistrale biennale,46,100.0
Architettura e ingegneria civile,1550.0,Catania,Architettura e ingegneria civile,Laurea magistrale biennale,51,97.4
Architettura e ingegneria civile,1615.0,Chieti e Pescara,Architettura e ingegneria civile,Laurea magistrale biennale,27,88.2
Architettura e ingegneria civile,1676.0,Ferrara,Architettura e ingegneria civile,Laurea magistrale biennale,30,91.7
Architettura e ingegneria civile,1419.0,Firenze,Architettura e ingegneria civile,Laurea magistrale biennale,162,90.1
Architettura e ingegneria civile,1499.0,Genova,Architettura e ingegneria civile,Laurea magistrale biennale,155,85.3
