Color_field,Retribuzione mensile netta,Ateneo,Gruppo disciplinare,Tipo di corso,Numero di laureati,Tasso di occupazione
Agrario-forestale e veterinario,1354.0,*,Agrario-forestale e veterinario,*,7191,64.3
Agrario-forestale e veterinario,1276.0,Bari,Agrario-forestale e veterinario,*,289,59.6
Agrario-forestale e veterinario,1238.0,Basilicata,Agrario-forestale e veterinario,*,74,49.2
Agrario-forestale e veterinario,1398.0,Bologna,Agrario-forestale e veterinario,*,679,70.0
Agrario-forestale e veterinario,1588.0,Bolzano,Agrario-forestale e veterinario,*,66,75.6
Agrario-forestale e veterinario,1587.0,Brescia,Agrario-forestale e veterinario,*,45,60.0
Agrario-forestale e veterinario,1249.0,Camerino,Agrario-forestale e veterinario,*,49,76.3
Agrario-forestale e veterinario,876.0,Campania Luigi Vanvitelli,Agrario-forestale e veterinario,*,10,50.0
Agrario-forestale e veterinario,1288.0,Catania,Agrario-forestale e veterinario,*,263,52.0
Agrario-forestale e veterinario,1626.0,Catanzaro,Agrario-forestale e veterinario,*,13,12.5
Agrario-forestale e veterinario,1076.0,Ferrara,Agrario-forestale e veterinario,*,16,62.5
Agrario-forestale e veterinario,1294.0,Firenze,Agrario-forestale e veterinario,*,296,64.9
Agrario-forestale e veterinario,1220.0,Foggia,Agrario-forestale e veterinario,*,114,62.8
Agrario-forestale e veterinario,1192.0,Marche Politecnica,Agrario-forestale e veterinario,*,137,60.2
Agrario-forestale e veterinario,1296.0,Messina,Agrario-forestale e veterinario,*,104,47.9
Agrario-forestale e veterinario,1448.0,Milano,Agrario-forestale e veterinario,*,649,68.2
Agrario-forestale e veterinario,1405.0,Modena e Reggio Emilia,Agrario-forestale e veterinario,*,79,66.0
Agrario-forestale e veterinario,1303.0,Molise,Agrario-forestale e veterinario,*,67,63.0
Agrario-forestale e veterinario,1286.0,Napoli Federico II,Agrario-forestale e veterinario,*,518,53.3
Agrario-forestale e veterinario,1413.0,Padova,Agrario-forestale e veterinario,*,727,74.4
Agrario-forestale e veterinario,1289.0,Palermo,Agrario-forestale e veterinario,*,235,45.9
Agrario-forestale e veterinario,1425.0,Parma,Agrario-forestale e veterinario,*,347,71.4
Agrario-forestale e veterinario,,Pavia,Agrario-forestale e veterinario,*,5,
Agrario-forestale e veterinario,1350.0,Perugia,Agrario-forestale e veterinario,*,214,68.3
Agrario-forestale e veterinario,1365.0,Pisa,Agrario-forestale e veterinario,*,334,70.9
Agrario-forestale e veterinario,1168.0,Reggio Calabria Mediterranea,Agrario-forestale e veterinario,*,96,47.3
Agrario-forestale e veterinario,1313.0,Roma Campus Bio-Medico,Agrario-forestale e veterinario,*,11,57.1
Agrario-forestale e veterinario,1376.0,Roma Sapienza,Agrario-forestale e veterinario,*,13,77.8
Agrario-forestale e veterinario,1079.0,Roma Tre,Agrario-forestale e veterinario,*,37,50.0
Agrario-forestale e veterinario,1209.0,Salento,Agrario-forestale e veterinario,*,16,66.7
Agrario-forestale e veterinario,792.0,Salerno,Agrario-forestale e veterinario,*,39,48.0
Agrario-forestale e veterinario,1376.0,Sannio,Agrario-forestale e veterinario,*,6,20.0
Agrario-forestale e veterinario,1342.0,Sassari,Agrario-forestale e veterinario,*,188,68.3
Agrario-forestale e veterinario,,Scienze Gastronomiche,Agrario-forestale e veterinario,*,2,
Agrario-forestale e veterinario,1197.0,Siena,Agrario-forestale e veterinario,*,11,63.6
Agrario-forestale e veterinario,1243.0,Teramo,Agrario-forestale e veterinario,*,243,59.8
