Color_field,Avg. Retribuzione mensile netta,Avg. Tasso di occupazione,Sum of Numero di laureati
Agrario-forestale e veterinario,1354.0,64.3,7191
Architettura e ingegneria civile,1442.0,67.4,10103
Arte e design,1096.0,51.4,10887
Economico,1431.0,62.4,45102
Educazione e formazione,1226.0,76.2,18832
Giuridico,1312.0,64.9,16091
Informatica e tecnologie ICT,1608.0,71.9,6538
Ingegneria industriale e dell'informazione,1635.0,60.3,37484
Letterario-umanistico,1144.0,50.0,18172
Linguistico,1153.0,54.3,19380
Medico-sanitario e farmaceutico,1672.0,86.7,43061
Politico-sociale e comunicazione,1251.0,57.9,30323
Psicologico,1039.0,47.3,16201
Scientifico,1324.0,53.5,32081
Scienze motorie e sportive,1022.0,66.8,8206
