disciplinary_group,net_monthly_salary,employment_rate,graduates,point_label,color_group
Educazione e Formazione,1490.0,96.2,3885,Educazione,Educazione e Formazione
Letterario-Umanistico,1766.0,95.5,74,Letterario,Letterario-Umanistico
Architettura e Ingegneria civile,1900.0,95.9,2734,Arch.-ing. civ.,Architettura e Ingegneria civile
Giuridico,1911.0,91.6,12132,Giuridico,Giuridico
Medico-Sanitario e Farmaceutico,2064.0,97.1,16304,Medico,Medico-Sanitario e Farmaceutico
Agrario-Forestale e Veterinario,2248.0,95.9,791,Agrario-vet.,Agrario-Forestale e Veterinario
