disciplinary_group,net_monthly_salary,employment_rate,graduates,point_label,color_group
Scienze motorie e sportive,1022.0,66.8,8206,Motorie,Scienze motorie e sportive
Psicologico,1039.0,47.3,16201,Psicologico,Psicologico
Arte e Design,1096.0,51.4,10887,Arte/design,Arte e Design
Letterario-Umanistico,1144.0,50.0,18172,Letterario,Letterario-Umanistico
Linguistico,1153.0,54.3,19380,Linguistico,Linguistico
Educazione e Formazione,1226.0,76.2,18832,Educazione,Educazione e Formazione
Politico-Sociale e Comunicazione,1251.0,57.9,30323,Politico-soc.,Politico-Sociale e Comunicazione
Giuridico,1312.0,64.9,16091,Giuridico,Giuridico
Scientifico,1324.0,53.5,32081,Scientifico,Scientifico
Agrario-Forestale e Veterinario,1354.0,64.3,7191,Agrario-vet.,Agrario-Forestale e Veterinario
Economico,1431.0,62.4,45102,Economico,Economico
Architettura e Ingegneria civile,1442.0,67.4,10103,Arch.-ing. civ.,Architettura e Ingegneria civile
Informatica e Tecnologie ICT,1608.0,71.9,6538,ICT,Informatica e Tecnologie ICT
Ingegneria industriale e dell'informazione,1635.0,60.3,37484,Ing. ind.,Ingegneria industriale e dell'informazione
Medico-Sanitario e Farmaceutico,1672.0,86.7,43061,Medico,Medico-Sanitario e Farmaceutico
