disciplinary_group,net_monthly_salary,employment_rate,graduates,point_label,color_group
Psicologico,1126.0,62.3,7015,Psicologico,Psicologico
Scienze motorie e sportive,1196.0,83.6,1114,Motorie,Scienze motorie e sportive
Arte e Design,1197.0,67.5,3533,Arte/design,Arte e Design
Educazione e Formazione,1244.0,81.9,3829,Educazione,Educazione e Formazione
Letterario-Umanistico,1250.0,68.3,8229,Letterario,Letterario-Umanistico
Linguistico,1265.0,74.5,7173,Linguistico,Linguistico
Politico-Sociale e Comunicazione,1372.0,75.3,10674,Politico-soc.,Politico-Sociale e Comunicazione
Giuridico,1415.0,83.9,345,Giuridico,Giuridico
Agrario-Forestale e Veterinario,1446.0,83.6,2426,Agrario-vet.,Agrario-Forestale e Veterinario
Scientifico,1456.0,81.6,14930,Scientifico,Scientifico
Medico-Sanitario e Farmaceutico,1485.0,86.4,7056,Medico,Medico-Sanitario e Farmaceutico
Architettura e Ingegneria civile,1539.0,88.9,4108,Arch.-ing. civ.,Architettura e Ingegneria civile
Economico,1581.0,86.3,17249,Economico,Economico
Informatica e Tecnologie ICT,1771.0,93.3,2391,ICT,Informatica e Tecnologie ICT
Ingegneria industriale e dell'informazione,1787.0,93.6,16625,Ing. ind.,Ingegneria industriale e dell'informazione
