disciplinary_group,net_monthly_salary,employment_rate,graduates,point_label,color_group
Giuridico,1156.0,61.9,9926,Giuridico,Giuridico
Architettura e Ingegneria civile,1347.0,87.1,1728,Arch.-ing. civ.,Architettura e Ingegneria civile
Letterario-Umanistico,1362.0,80.7,81,Letterario,Letterario-Umanistico
Educazione e Formazione,1428.0,90.2,5036,Educazione,Educazione e Formazione
Agrario-Forestale e Veterinario,1447.0,87.4,727,Agrario-vet.,Agrario-Forestale e Veterinario
Medico-Sanitario e Farmaceutico,1799.0,91.6,14693,Medico,Medico-Sanitario e Farmaceutico
